Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2/1/2008,19.5,22.4,15.6,6.2,0,W,41,S,SSW,17,20,92,84,1017.6,1017.4,8,8,20.7,20.9,Yes,Yes
2/2/2008,19.5,25.6,6,3.4,2.7,W,41,W,E,9,13,83,73,1017.9,1016.4,7,7,22.4,24.8,Yes,Yes
2/3/2008,21.6,24.5,6.6,2.4,0.1,W,41,ESE,ESE,17,2,88,86,1016.7,1015.6,7,8,23.5,23,Yes,Yes
2/4/2008,20.2,22.8,18.8,2.2,0,W,41,NNE,E,22,20,83,90,1014.2,1011.8,8,8,21.4,20.9,Yes,Yes
2/5/2008,19.7,25.7,77.4,4.8,0,W,41,NNE,W,11,6,88,74,1008.3,1004.8,8,8,22.5,25.5,Yes,Yes
2/6/2008,20.2,27.2,1.6,2.6,8.6,W,41,W,ENE,9,22,69,62,1002.7,998.6,6,6,23.8,26,Yes,Yes
2/7/2008,18.6,26.3,6.2,5.2,5.2,W,41,W,S,15,15,75,80,999,1000.3,4,7,21.7,22.3,Yes,Yes
2/8/2008,17.2,22.3,27.6,5.8,2.1,W,41,S,SE,7,15,77,61,1008.3,1007.4,7,8,18.9,21.1,Yes,Yes
2/9/2008,16.4,20.8,12.6,4.8,3,W,41,SSW,W,19,9,92,91,1006.4,1007.6,7,7,17.1,16.5,Yes,Yes
2/10/2008,14.6,24.2,8.8,4.4,10.1,W,41,W,SSE,11,20,80,53,1014,1013.4,4,2,17.2,23.3,Yes,No
2/11/2008,16.4,23.9,0,6.4,8,W,41,WNW,E,9,26,78,53,1017.6,1015.3,7,8,18.9,23.7,No,No
2/12/2008,18.9,27.3,0,6.8,6.7,W,41,N,NE,7,24,68,67,1010.7,1007.5,7,7,22.9,24.7,No,Yes
2/13/2008,18.4,22.8,14.4,7,3.3,W,41,S,S,24,30,87,70,1009.2,1011.7,8,7,20.9,21,Yes,Yes
2/14/2008,16.9,24.3,3,3.2,8.7,W,41,SSW,SSE,15,19,81,51,1017.2,1016.5,7,1,18.4,23.3,Yes,No
2/15/2008,18.3,24.4,0,6.2,8.5,W,41,SW,SSE,19,22,80,56,1020.2,1018.9,7,3,19.5,23.8,No,No
2/16/2008,16.7,24.1,0,6.2,8.8,W,41,WNW,SSE,11,26,77,52,1023,1022.6,7,6,19.8,23.3,No,No
2/17/2008,19.5,24.8,0,7.6,3.2,W,41,SE,ESE,13,24,63,62,1024.7,1023.1,7,7,21.8,23.4,No,No
2/18/2008,18.6,25.3,0,4.2,4.5,W,41,SSE,ENE,13,24,70,59,1021.7,1019.4,7,6,21.2,23.8,No,No
2/19/2008,19,24.8,0,5.2,7.5,W,41,WNW,E,7,17,79,65,1018,1015.4,7,7,20.8,23.4,No,No
2/20/2008,18.3,26.4,0,4.6,11.1,W,41,W,E,13,22,80,60,1013.4,1010.8,3,1,21.3,25.2,No,No
2/21/2008,20.6,26.8,0,6.8,6.4,W,41,WNW,SE,4,15,86,62,1011.4,1009.7,7,7,22.1,24.9,No,No
2/22/2008,19.1,25.4,0.4,4.4,9.4,W,41,WNW,E,11,28,77,66,1009.2,1003.1,4,1,22.3,24.9,No,No
2/23/2008,20.5,26,0,6.6,12.2,W,41,WSW,ESE,20,24,38,45,1007.4,1007,1,1,22.5,24,No,No
2/24/2008,16.5,28.3,0,8.6,12,W,41,WNW,ESE,11,24,48,40,1007.9,1008,0,0,21.2,26.1,No,No
2/25/2008,20.5,24.2,0,8.6,1.5,W,41,E,E,15,20,58,54,1017.5,1016.9,7,7,21.6,23.5,No,No
